"setting","simulation","Bayesian_epsilon","Bayesian_CI_upper","Bayesian_coverage","Bayesian_power","frequentist_epsilon","frequentist_CI_upper","frequentist_coverage","frequentist_power","n_sample","n_chains","n_iterations","n_simulations","BF_alternative","timestamp","seed"
1,46,0.3137128195931,0.04,TRUE,TRUE,0.267293804354382,0.476711075743391,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 01:38:29",124
2,46,0.306619486259767,0.04,TRUE,TRUE,0.267293804354382,0.421187205708058,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 01:38:29",124
1,47,0.311979486259767,0.0600000000000001,TRUE,TRUE,0.268790322742872,0.31124293936615,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 01:38:29",124
2,47,0.306459486259767,0.04,TRUE,TRUE,0.259174938127487,0.464756485535639,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 01:38:29",124
1,48,0.314699486259767,0.0600000000000001,TRUE,TRUE,0.265960233576375,0.379939522171915,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 01:38:29",124
2,48,0.291126152926434,0.04,TRUE,TRUE,0.247298540671269,0.496259742230769,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 01:38:29",124
1,49,0.314966152926433,0.04,TRUE,TRUE,0.268232518126986,0.394248073457797,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 01:38:29",124
2,49,0.2973128195931,0.1,TRUE,TRUE,0.238341604794154,0.5441593121086,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 01:38:29",124
1,50,0.314299486259767,0.04,TRUE,TRUE,0.264211468786882,0.303083261208089,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 01:38:29",124
2,50,0.3071528195931,0.0600000000000001,TRUE,TRUE,0.262676161326785,0.388533447800945,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 01:38:29",124
1,1,0.314406152926433,0.02,TRUE,TRUE,0.262019893289113,0.35529095540827,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 02:10:50",125
2,1,0.278806152926434,0.02,TRUE,TRUE,0.243149297101846,0.49820367702201,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 02:10:50",125
1,2,0.310859486259767,0.1,TRUE,TRUE,0.267293804354382,0.274946904980207,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 02:10:50",125
2,2,0.297499486259767,0.02,TRUE,TRUE,0.26431819745158,0.408716052244082,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 02:10:50",125
1,3,0.3133928195931,0.04,TRUE,TRUE,0.259349338053149,0.456965605524785,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 02:10:50",125
2,3,0.307926152926434,0.04,TRUE,TRUE,0.26431819745158,0.358597734960514,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 02:10:50",125
1,4,0.310139486259767,0.0600000000000001,TRUE,TRUE,0.268790322742872,0.348289018553322,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 02:10:50",125
2,4,0.295206152926433,0.04,TRUE,TRUE,0.231459621642254,0.36726594681959,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 02:10:50",125
1,5,0.314539486259767,0.02,TRUE,TRUE,0.265960233576375,0.322467615901709,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 02:10:50",125
2,5,0.251286152926434,0.0399999999999999,TRUE,TRUE,0.208488969208559,0.457524077679033,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 02:10:50",125
1,6,0.315019486259767,0.04,TRUE,TRUE,0.267293804354382,0.282849933992626,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 02:10:50",125
2,6,0.3125128195931,0.1,TRUE,TRUE,0.268790322742872,0.462552313798061,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 02:10:50",125
1,7,0.314859486259767,0.0600000000000001,TRUE,TRUE,0.268790322742872,0.26599414214774,TRUE,TRUE,50,2,500,50,"greater","2026-04-29 02:10:50",125
2,7,0.2990728195931,0,FALSE,TRUE,0.265585194537743,0.394301071008517,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 02:10:50",125
1,8,0.304619486259767,0.0600000000000001,TRUE,TRUE,0.262380066332615,0.408841808451082,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 02:10:50",125
2,8,0.3093928195931,0.04,TRUE,TRUE,0.268790322742872,0.560811707286108,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 02:10:50",125
1,9,0.304006152926434,0.1,TRUE,TRUE,0.255878135453549,0.43115887343077,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 02:10:50",125
2,9,0.293499486259767,0.04,TRUE,TRUE,0.268790322742872,0.512777784598021,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 02:10:50",125
1,10,0.314779486259767,0.02,TRUE,TRUE,0.267293804354382,0.50528709723145,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 02:10:50",125
2,10,0.301366152926434,0.02,TRUE,TRUE,0.260777502230051,0.491016434625339,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 02:10:50",125
